total_processed,input_rate,image_quality,file_size(kB),current_model,total_conf,avg_conf,current_boxes,energy_consumption(J),current_cpu,measure_duration(s),current_time,start_time,absolute_time
32,3.6188153065521735,100,12456.22,yolov5l,4.568897902965546,0.7614829838275909,6,13.314968,13.1,0.262522342,0.2621116638183594,215.41664004325867,46.467525482177734
33,3.6936830858886913,100,11041.687,yolov5m,0.6807963848114014,0.3403981924057007,2,11.560395,14.0,0.23894207,0.2387542724609375,215.64557075500488,47.89476656913757
34,3.9360759950600688,100,12694.89,yolov5s,5.932734489440918,0.6591927210489908,9,13.278103,13.4,0.253094593,0.25290751457214355,216.27383756637573,49.48887920379639
35,4.0600786558456585,100,11041.687,yolov5l,2.6971555650234222,0.4495259275039037,6,12.243621,13.6,0.248130792,0.2479257583618164,216.68711185455322,50.94137978553772
36,4.33366107332879,100,11041.687,yolov5n,0.53394415974617,0.266972079873085,2,13.950465,14.6,0.250404159,0.25021982192993164,216.94801545143127,52.443814277648926
37,4.050496135172191,100,11041.687,yolov5m,0.6807963848114014,0.3403981924057007,2,11.40378,13.9,0.24035610699999999,0.2401444911956787,217.44273447990417,53.87918734550476
38,3.5284955525239123,100,12456.22,yolov5s,4.06519016623497,0.677531694372495,6,12.313018,12.9,0.246081037,0.24589133262634277,217.98361802101135,55.40859079360962
39,3.542774423155538,100,9730.288,yolov5x,7.946953594684601,0.6622461328903834,12,12.548979,14.4,0.25394603,0.25376343727111816,218.27096915245056,56.73881268501282
40,3.72686415559897,100,12456.22,yolov5m,6.646654725074768,0.6042413386431608,11,12.470732,12.7,0.250064002,0.24985074996948242,203.26265740394592,58.302167654037476
41,3.57954401862843,100,7448.131,yolov5m,0,0.6042413386431608,0,12.488371,16.5,0.226750635,0.22652506828308105,199.86055207252502,59.37074327468872
42,3.7119632693317497,100,7448.131,yolov5s,0,0.6042413386431608,0,10.198827,12.9,0.21389803200000002,0.21368694305419922,200.18650555610657,60.36821246147156
43,3.5973303840143034,100,7448.131,yolov5n,0,0.6042413386431608,0,11.22281,14.1,0.21484979199999998,0.21466398239135742,200.51250529289246,61.3669319152832
44,3.555770207568366,100,12694.89,yolov5l,5.359763652086258,0.7656805217266083,7,12.204559,13.7,0.255757829,0.2555556297302246,201.12487530708313,62.94658923149109
45,3.3868868462837973,100,12694.89,yolov5x,7.348273575305939,0.6123561312754949,12,12.789213,13.6,0.26921019900000004,0.2689976692199707,201.6712474822998,64.5828127861023
46,3.327467681581226,100,9659.386,yolov5x,0.6151313185691833,0.3075656592845917,2,16.679705,15.1,0.279244995,0.2789630889892578,201.9673569202423,65.9075870513916
47,3.3699774816673167,100,12737.638,yolov5s,24.017121732234955,0.49014534147418276,49,13.454922,14.8,0.244990501,0.24478530883789062,200.99294710159302,67.54199838638306
48,3.2187763456725134,100,9730.288,yolov5n,5.32105416059494,0.5912282400661044,9,11.092623,12.9,0.223540959,0.22335243225097656,201.03087997436523,68.81752562522888
