total_processed,input_rate,image_quality,file_size(kB),current_model,total_conf,avg_conf,current_boxes,energy_consumption(J),current_cpu,measure_duration(s),current_time,start_time,absolute_time
52,3.490210818839491,100,12694.89,yolov5m,6.118571430444717,0.6798412700494131,9,12.884,13.0,0.254440565,0.2491617202758789,238.35439229011536,74.23277926445007
53,3.4043060278574826,100,7448.131,yolov5m,0,0.6798412700494131,0,12.238799,12.9,0.223892361,0.21941018104553223,238.1311173439026,75.294442653656
54,3.637366799233691,100,7448.131,yolov5m,0,0.6798412700494131,0,10.798068,12.9,0.219440127,0.2149667739868164,238.4325807094574,76.29428482055664
55,3.8611271763323978,100,12694.89,yolov5m,6.118571430444717,0.6798412700494131,9,12.255767,12.5,0.248750582,0.24331045150756836,238.6014907360077,77.825843334198
56,3.5152557631323553,100,9659.386,yolov5m,0,0.6798412700494131,0,12.025237,12.7,0.23709154300000002,0.23163866996765137,238.79301381111145,79.08503413200378
57,3.4013459912088364,100,12694.89,yolov5m,6.118571430444717,0.6798412700494131,9,13.725795,12.9,0.25433950899999996,0.24955511093139648,239.40453815460205,80.64933609962463
58,3.647598882944463,100,12737.638,yolov5m,31.500484615564346,0.5431118037166267,58,12.616728,12.7,0.25132525299999997,0.2462453842163086,239.5244061946869,82.23665642738342
59,3.595497568076191,100,7448.131,yolov5m,0,0.5431118037166267,0,11.246004,12.6,0.225574975,0.22092795372009277,236.90168571472168,83.31028890609741
60,3.673374232998803,100,9659.386,yolov5m,0,0.5431118037166267,0,11.992523,13.0,0.24025226800000002,0.2356102466583252,236.8991322517395,84.55618357658386
61,3.793655074703461,100,7448.131,yolov5m,0,0.5431118037166267,0,11.176546,12.7,0.22695954699999998,0.22147774696350098,237.032368183136,85.58378386497498
62,3.847957769102884,100,7448.131,yolov5m,0,0.5431118037166267,0,11.184358,14.8,0.22584754,0.2213120460510254,236.31589794158936,86.61162328720093
63,3.5266637723578462,100,12737.638,yolov5m,31.500484615564346,0.5431118037166267,58,12.894254,12.9,0.255477493,0.2500801086425781,236.56915974617004,88.14858961105347
