total_processed,input_rate,image_quality,file_size(kB),current_model,total_conf,avg_conf,current_boxes,energy_consumption(J),current_cpu,measure_duration(s),current_time,start_time,absolute_time
27,3.480482830227644,100,9659.386,yolov5l,0.5812882781028748,0.5812882781028748,1,11.240023,13.8,0.2348004,0.2346339225769043,145.46305537223816,38.353065729141235
28,3.7132623231834594,100,9659.386,yolov5x,0.6151313185691833,0.3075656592845917,2,13.618739,15.3,0.253971429,0.2538492679595947,145.93277168273926,39.667903661727905
29,3.5632978452815025,100,11834.285,yolov5m,5.67914953827858,0.7098936922848225,8,12.218352,15.1,0.24761322700000002,0.24750185012817383,146.30070090293884,41.176931619644165
30,3.805167127366637,100,11834.285,yolov5s,5.025311082601547,0.6281638853251934,8,12.191925,13.9,0.243806,0.24365830421447754,146.70152187347412,42.66321921348572
31,3.596596725504681,100,11041.687,yolov5n,0.53394415974617,0.266972079873085,2,11.512604,14.1,0.232361102,0.23218894004821777,146.98557209968567,44.054373025894165
32,3.6188153065521735,100,11041.687,yolov5l,2.6971555650234222,0.4495259275039037,6,13.009427,14.1,0.253709946,0.25357699394226074,147.27333784103394,45.46097111701965
33,3.6936830858886913,100,11041.687,yolov5x,3.1298563480377197,0.44712233543395996,7,13.50143,14.8,0.266078836,0.2659413814544678,147.70565700531006,46.89066505432129
34,3.9360759950600688,100,11041.687,yolov5m,0.6807963848114014,0.3403981924057007,2,12.500273,14.3,0.248385506,0.24826622009277344,148.15609097480774,48.31182408332825
35,4.0600786558456585,100,11041.687,yolov5s,1.2377407550811768,0.3094351887702942,4,12.153899,14.8,0.237209125,0.2370920181274414,148.57796931266785,49.71668553352356
36,4.33366107332879,100,11041.687,yolov5n,0.53394415974617,0.266972079873085,2,11.962921,15.1,0.237690693,0.2375190258026123,149.05295991897583,51.137659549713135
37,4.050496135172191,100,11041.687,yolov5l,2.6971555650234222,0.4495259275039037,6,12.232513,13.7,0.250977183,0.25073862075805664,149.51336932182312,52.558088541030884
38,3.5284955525239123,100,12456.22,yolov5x,6.034773200750351,0.7543466500937939,8,13.684902,14.1,0.268113451,0.267897367477417,150.0920388698578,54.12663149833679
39,3.542774423155538,100,12456.22,yolov5m,6.646654725074768,0.6042413386431608,11,15.130515,15.6,0.258537379,0.2584187984466553,148.95210433006287,55.69106364250183
40,3.72686415559897,100,12694.89,yolov5s,5.932734489440918,0.6591927210489908,9,11.332369,14.8,0.22656021299999998,0.22644257545471191,147.11245369911194,57.293519020080566
41,3.57954401862843,100,12456.22,yolov5n,2.723424941301346,0.6808562353253365,4,11.618379,13.7,0.22034521599999998,0.22021842002868652,145.51631426811218,58.825390338897705
42,3.7119632693317497,100,12737.638,yolov5l,25.44600060582161,0.5531739262135132,46,12.335662,14.2,0.24292038500000002,0.24280071258544922,145.16038608551025,60.42431926727295
43,3.5973303840143034,100,12456.22,yolov5x,6.034773200750351,0.7543466500937939,8,12.435271,14.5,0.250435688,0.2503225803375244,145.1215808391571,61.98184299468994
44,3.555770207568366,100,12694.89,yolov5m,6.118571430444717,0.6798412700494131,9,12.160736,14.6,0.233230823,0.2331092357635498,145.40123891830444,63.547770500183105
45,3.3868868462837973,100,12694.89,yolov5s,5.932734489440918,0.6591927210489908,9,11.979157,13.8,0.223063505,0.22294116020202637,144.88152050971985,65.09975218772888
46,3.327467681581226,100,12694.89,yolov5n,5.3460710644721985,0.5940078960524665,9,11.522249,14.2,0.224854546,0.22466778755187988,145.34534335136414,66.66433668136597
47,3.3699774816673167,100,7448.131,yolov5l,0,0.5940078960524665,0,11.289278,14.2,0.220172408,0.22001099586486816,145.2992124557495,67.6734230518341
48,3.2187763456725134,100,12694.89,yolov5x,7.348273575305939,0.6123561312754949,12,14.005214,16.2,0.267629108,0.26751017570495605,146.22696733474731,69.34607529640198
49,3.246381448799643,100,12694.89,yolov5m,6.118571430444717,0.6798412700494131,9,11.800751,13.7,0.232833079,0.23270273208618164,146.71462416648865,70.90952062606812
50,3.521635114060424,100,12694.89,yolov5s,5.932734489440918,0.6591927210489908,9,12.385772,16.7,0.235855519,0.2357337474822998,147.1799623966217,72.50446438789368
51,3.5094579450929153,100,12737.638,yolov5n,19.20465835928917,0.45725377045926596,42,15.584128,15.7,0.243411935,0.24317026138305664,146.66470909118652,74.1289541721344
52,3.490210818839491,100,7448.131,yolov5l,0,0.45725377045926596,0,11.227816,14.0,0.22427653400000003,0.22403383255004883,142.69252514839172,75.17270016670227
53,3.4043060278574826,100,12737.638,yolov5x,28.71218791604042,0.5521574599238542,52,12.554289,14.6,0.249428685,0.24930071830749512,143.4829068183899,76.7271089553833
54,3.637366799233691,100,7448.131,yolov5m,0,0.5521574599238542,0,11.221163,13.1,0.209112809,0.20895981788635254,143.23602318763733,77.731271982193
55,3.8611271763323978,100,7448.131,yolov5s,0,0.5521574599238542,0,9.648718,14.2,0.19247281700000002,0.19232487678527832,142.55892086029053,78.71129846572876
56,3.5152557631323553,100,7448.131,yolov5n,0,0.5521574599238542,0,10.387486,15.0,0.204628228,0.20449090003967285,142.84622168540955,79.70488977432251
